bedrooms,bedroom_category,unit_or_number,property_name,rent_from_ZAR_per_day,website,max_persons,wifi_included,dstv_mentioned,smart_tv_mentioned,pool_mentioned,braai_mentioned,jetty_mentioned,pets_policy,linen_mentioned,towels_mentioned,beach_towels_mentioned,garage_availability_note,unavailability_note,domestic_service_note,description,raw_text
2,Two,42,SETTLER SANDS,3500,https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1713575,,False,False,False,False,True,False,,False,False,,,,,"RENT FROM R3,500 per day
Website Link: https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1713575
Looking for the perfect beachfront getaway?
Wake up to river views in this 2-bed townhouse just steps from the beach! Enjoy a modern open-plan living area, sunny patio with built-in braai, and a private balcony overlooking the sea.
Perfectly located in Port Alfred, the heart of the Sunshine Coast, you'll be close to surfing beaches, the Kowie River, golf, and the marina.
Whether it's a family holiday, romantic escape, or chilled getaway, this seaside spot has it all!
The property has an open-plan living area, complete with a modern kitchen, dining room and lounge, leading out onto a north-facing paved patio with built-in braai.
Upstairs, you'll find two bedrooms, one with its own balcony offering ocean views. A full bathroom serves both bedrooms, while a convenient guest loo is located downstairs.
This townhouse also features a courtyard, accessed from the kitchen.","42 SETTLER SANDS:
RENT FROM R3,500 per day
Website Link: https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1713575
Looking for the perfect beachfront getaway?
Wake up to river views in this 2-bed townhouse just steps from the beach! Enjoy a modern open-plan living area, sunny patio with built-in braai, and a private balcony overlooking the sea.
Perfectly located in Port Alfred, the heart of the Sunshine Coast, you'll be close to surfing beaches, the Kowie River, golf, and the marina.
Whether it's a family holiday, romantic escape, or chilled getaway, this seaside spot has it all!
The property has an open-plan living area, complete with a modern kitchen, dining room and lounge, leading out onto a north-facing paved patio with built-in braai.
Upstairs, you'll find two bedrooms, one with its own balcony offering ocean views. A full bathroom serves both bedrooms, while a convenient guest loo is located downstairs.
This townhouse also features a courtyard, accessed from the kitchen.
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
2,Two,84,SETTLER SANDS,3500,https://www.pamgolding.co.za/property-details/townhouse-to-rent-west-beach-port-alfred/1pf1723532,,False,False,False,False,True,False,,False,False,,,,,"RENT FROM R3,500 per day
Website Link: https://www.pamgolding.co.za/property-details/townhouse-to-rent-west-beach-port-alfred/1pf1723532
Modern two-bedroom Settler Sands unit with an open-plan living area leading to a private patio and braai space. Bedrooms are upstairs with a shared bathroom, plus a guest loo downstairs.
Located just steps from West Beach, this comfortable coastal units is perfect for a relaxed Port Alfred getaway.
Splendid sea Views from this secure townhouse on West Beach Drive. Newly completed with modern finishes, this unit has open plan living extending onto a sunny north facing patio. Two bedrooms upstairs sharing a full bathroom with the main bedroom opening to a balcony and an amazing view. The kitchen door leads to an enclosed courtyard which has an outdoor shower.","84 SETTLER SANDS:
RENT FROM R3,500 per day
Website Link: https://www.pamgolding.co.za/property-details/townhouse-to-rent-west-beach-port-alfred/1pf1723532
Modern two-bedroom Settler Sands unit with an open-plan living area leading to a private patio and braai space. Bedrooms are upstairs with a shared bathroom, plus a guest loo downstairs.
Located just steps from West Beach, this comfortable coastal units is perfect for a relaxed Port Alfred getaway.
Splendid sea Views from this secure townhouse on West Beach Drive. Newly completed with modern finishes, this unit has open plan living extending onto a sunny north facing patio. Two bedrooms upstairs sharing a full bathroom with the main bedroom opening to a balcony and an amazing view. The kitchen door leads to an enclosed courtyard which has an outdoor shower."
2,Two,6,TROON CRESCENT,4500,https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1688276,,True,False,True,False,False,False,,False,False,,available,,,"RENT FROM R4,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1688276
Located in a well-established residential area, this gorgeous home is nestled in amongst tree's surrounded with breathtaking views of the Royal Port Alfred Golf Course and Ocean.
Spanning across three levels, it has been exceptionally well designed to offer light interiors with double volume features, high ceilings, numerous balconies and views from almost every room.
The main living area is located on the middle floor, accessible from street level and complete with master bedroom, kitchen, dining and lounge facilities. Open plan, the kitchen is fitted with solid wooden cabinets, granite counter tops, an eye level oven and a separate scullery for convenience.
The master bedroom, both private and spacious, comprises a full en-suite bathroom and a walk in dressing room. With direct thoroughfare onto an expansive undercover balcony, this space enjoys absolute tranquillity.
The top floor, with aesthetically pleasing high ceilings and a birds-eye-view of scenic surrounds boasts an open plan second lounge, and guest bedroom and en-suite.
One parking space available in the garage for tenants use.
Valuable extra's include an underground water tank and excellent security via electronic beams, an internal alarm system, security gates and electronic gate access.
Ideally located within walking distance to attractive amenities.
Holiday rental includes WIFI and a SMART TV for tenant to connect up to their accounts.
The property is on a shared environment with a tenant occupying the flat on the first level of the property.","6 TROON CRESCENT:
RENT FROM R4,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1688276
Located in a well-established residential area, this gorgeous home is nestled in amongst tree's surrounded with breathtaking views of the Royal Port Alfred Golf Course and Ocean.
Spanning across three levels, it has been exceptionally well designed to offer light interiors with double volume features, high ceilings, numerous balconies and views from almost every room.
The main living area is located on the middle floor, accessible from street level and complete with master bedroom, kitchen, dining and lounge facilities. Open plan, the kitchen is fitted with solid wooden cabinets, granite counter tops, an eye level oven and a separate scullery for convenience.
The master bedroom, both private and spacious, comprises a full en-suite bathroom and a walk in dressing room. With direct thoroughfare onto an expansive undercover balcony, this space enjoys absolute tranquillity.
The top floor, with aesthetically pleasing high ceilings and a birds-eye-view of scenic surrounds boasts an open plan second lounge, and guest bedroom and en-suite.
One parking space available in the garage for tenants use.
Valuable extra's include an underground water tank and excellent security via electronic beams, an internal alarm system, security gates and electronic gate access.
Ideally located within walking distance to attractive amenities.
Holiday rental includes WIFI and a SMART TV for tenant to connect up to their accounts.
The property is on a shared environment with a tenant occupying the flat on the first level of the property.
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
3,Three,11,ALFRED ROAD,3500,https://www.pamgolding.co.za/property-details/house-to-rent-east-bank/1pf1709264,6.0,True,False,True,False,True,False,,True,True,,available,,Domestic worker can be arranged during a guests stay on request at an additional charge per day.,"RENT FROM R3,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-east-bank/1pf1709264
Located on Port Alfred's East Bank, this charming coastal home is sure to make your heart smile with its stunning views of the Royal Alfred Marina, Kowie River and the Indian Ocean.
The home is a stunning combination of old meets new, with light and spacious interior living that has a generous flow to the outdoor entertainment area. This property allows you to host family and friends with a very well positioned built-in braai at an undercover patio with a serving hatch into the kitchen, the patio also offer outdoor roller blinds for extra coverage on those not so great weather days.
Walking further up into the garden you will find an fire pit from which you can enjoy the exquisite views of the ocean and small boat harbor, presenting the perfect space to enjoy evening sundowners.
This property has a lot to offer with three well-sized bedrooms, the main bedroom and main guest bedroom having queen sized beds, with the second guest bedroom offer two single beds. The main bedroom enjoys access to a private en-suite bathroom, while the remaining guest bedrooms enjoy shared access to a modern bathroom.
The property boasts an amazing open plan feel from the kitchen, to the lounge, the outdoor entertainment, and the accommodation. This property seamlessly connects modern living with olde world charm.
Valuable extra amenities include:
- WIFI
- Smart TV for guests to stay connected to their favorite streaming channels and shows
- Single Garage - available for tenants use
- Single carport
- Separate laundry room with washing machine and dryer
- Dishwasher in the kitchen
- Ample rain water storage
- Full Alarm system with exterior beams as well as two well positioned camera's, one above the garage and one at the Carport.
- Linen and bath towels
Domestic worker can be arranged during a guests stay on request at an additional charge per day.
Maximum 6 persons","11 ALFRED ROAD:
RENT FROM R3,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-east-bank/1pf1709264
Located on Port Alfred's East Bank, this charming coastal home is sure to make your heart smile with its stunning views of the Royal Alfred Marina, Kowie River and the Indian Ocean.
The home is a stunning combination of old meets new, with light and spacious interior living that has a generous flow to the outdoor entertainment area. This property allows you to host family and friends with a very well positioned built-in braai at an undercover patio with a serving hatch into the kitchen, the patio also offer outdoor roller blinds for extra coverage on those not so great weather days.
Walking further up into the garden you will find an fire pit from which you can enjoy the exquisite views of the ocean and small boat harbor, presenting the perfect space to enjoy evening sundowners.
This property has a lot to offer with three well-sized bedrooms, the main bedroom and main guest bedroom having queen sized beds, with the second guest bedroom offer two single beds. The main bedroom enjoys access to a private en-suite bathroom, while the remaining guest bedrooms enjoy shared access to a modern bathroom.
The property boasts an amazing open plan feel from the kitchen, to the lounge, the outdoor entertainment, and the accommodation. This property seamlessly connects modern living with olde world charm.
Valuable extra amenities include:
- WIFI
- Smart TV for guests to stay connected to their favorite streaming channels and shows
- Single Garage - available for tenants use
- Single carport
- Separate laundry room with washing machine and dryer
- Dishwasher in the kitchen
- Ample rain water storage
- Full Alarm system with exterior beams as well as two well positioned camera's, one above the garage and one at the Carport.
- Linen and bath towels
Domestic worker can be arranged during a guests stay on request at an additional charge per day.
Maximum 6 persons
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
3,Three,23,HENRY STREET,3650,https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1696600,,True,True,False,False,True,False,,False,False,,available,,"WiFi included | Full DSTV | 15000 litres of fresh water and filter system | Alarm system, loft with a bed 3 quarter, Garage & Carport available for use | For only R3650 per day inclusive of maid once a week and gardener once a week as well. Book now and enjoy the comfort of your home away from home.","RENT FROM R3,650 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1696600
Escape to a luxurious coastal getaway with this stunning holiday rental. Offering a beautiful 3 bedroom house that is a haven of tranquillity and relaxation. Upon entering, you will be captivated by the warm yet luxurious essence of this holiday home. The open plan kitchen and double volume living room extend onto an elevated deck where you will be encapsulated by the stunning distant views of Port Alfred's Kowie River. With three large bedrooms and a loft that can be used as a fourth bedroom, this home is perfect for the large family holiday. A weber braai is included in the rental for your holiday convenience.
WiFi included | Full DSTV | 15000 litres of fresh water and filter system | Alarm system, loft with a bed 3 quarter, Garage & Carport available for use | For only R3650 per day inclusive of maid once a week and gardener once a week as well. Book now and enjoy the comfort of your home away from home.","23 HENRY STREET:
RENT FROM R3,650 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1696600
Escape to a luxurious coastal getaway with this stunning holiday rental. Offering a beautiful 3 bedroom house that is a haven of tranquillity and relaxation. Upon entering, you will be captivated by the warm yet luxurious essence of this holiday home. The open plan kitchen and double volume living room extend onto an elevated deck where you will be encapsulated by the stunning distant views of Port Alfred's Kowie River. With three large bedrooms and a loft that can be used as a fourth bedroom, this home is perfect for the large family holiday. A weber braai is included in the rental for your holiday convenience.
WiFi included | Full DSTV | 15000 litres of fresh water and filter system | Alarm system, loft with a bed 3 quarter, Garage & Carport available for use | For only R3650 per day inclusive of maid once a week and gardener once a week as well. Book now and enjoy the comfort of your home away from home.
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
3,Three,2,ATHERSTONE ROAD,3750,https://www.pamgolding.co.za/property-details/house-to-rent-west-bank-port-alfred/1pf1708485,,True,False,False,False,False,False,,True,True,True,,,"* Requirement by owners, domestic to work every day for at least half a day or a full day (should tenants wish to)","RENT FROM R3,750 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-bank-port-alfred/1pf1708485
Situated within walking distance to the rivers edge, this charming home is ideal for a family getaway. Centrally located and a short drive from most amenities as well as the beach.
This home offers open plan living and dining which flows from a spacious, newly renovated kitchen and out onto a Juliet balcony and an undercover deck with gorgeous views!
The upper level consists of two bedrooms and a full bathroom. These bedrooms will be fitted with a double bed and two single beds to accommodate a larger family.
Downstairs, hidden away from the activity of upstairs, you'll find the Master bedroom fitted with its own en-suite as well as a private entrance.
Uncapped Wifi available | Linen provided | Beach towels to be provided by tenants
* Requirement by owners, domestic to work every day for at least half a day or a full day (should tenants wish to)","2 ATHERSTONE ROAD:
RENT FROM R3,750 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-bank-port-alfred/1pf1708485
Situated within walking distance to the rivers edge, this charming home is ideal for a family getaway. Centrally located and a short drive from most amenities as well as the beach.
This home offers open plan living and dining which flows from a spacious, newly renovated kitchen and out onto a Juliet balcony and an undercover deck with gorgeous views!
The upper level consists of two bedrooms and a full bathroom. These bedrooms will be fitted with a double bed and two single beds to accommodate a larger family.
Downstairs, hidden away from the activity of upstairs, you'll find the Master bedroom fitted with its own en-suite as well as a private entrance.
Uncapped Wifi available | Linen provided | Beach towels to be provided by tenants
* Requirement by owners, domestic to work every day for at least half a day or a full day (should tenants wish to)"
3,Three,7,LITTLE LILY,3950,https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1702844,,True,False,True,False,False,False,,True,True,True,,,Domestic worker can be arranged on request to assist you during your stay as well.,"RENT FROM R3,950 per day
Website Link: https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1702844
Perfect family holiday destination spot awaits.
Situated on Port Alfred's West Bank, is this stunning, recently renovated three-bedroom Lily Unit only a stones throw away from Flame Lily Beach.
Situated in the Little Lily complex, this unit is prime location with the complex having its own private gate for easy beach access, not even 100 meter walk away.
The property offers a spacious open plan living room and kitchen, which extends out to the dining and bar area that flows out onto the lawn where beautiful sea views can be enjoyed.
The property offers a spacious main bedroom with two well sized guest bedrooms. Two bathrooms are available, one with a shower and one with a shower and bath combo.
The rental includes:
- WiFi
- Smart TV available for guests to connect up to their streaming services
- Linen
- Bath towels
Guests to bring their own Beach towels
Domestic worker can be arranged on request to assist you during your stay as well.
One note is that there is a four plate gas stove top, however there is no oven. An Air fryer is provided for guests as well as basic kitchen necessities","7 LITTLE LILY:
RENT FROM R3,950 per day
Website Link: https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1702844
Perfect family holiday destination spot awaits.
Situated on Port Alfred's West Bank, is this stunning, recently renovated three-bedroom Lily Unit only a stones throw away from Flame Lily Beach.
Situated in the Little Lily complex, this unit is prime location with the complex having its own private gate for easy beach access, not even 100 meter walk away.
The property offers a spacious open plan living room and kitchen, which extends out to the dining and bar area that flows out onto the lawn where beautiful sea views can be enjoyed.
The property offers a spacious main bedroom with two well sized guest bedrooms. Two bathrooms are available, one with a shower and one with a shower and bath combo.
The rental includes:
- WiFi
- Smart TV available for guests to connect up to their streaming services
- Linen
- Bath towels
Guests to bring their own Beach towels
Domestic worker can be arranged on request to assist you during your stay as well.
One note is that there is a four plate gas stove top, however there is no oven. An Air fryer is provided for guests as well as basic kitchen necessities"
3,Three,35,SETTLER SANDS,4000,https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1718724,,False,False,False,False,True,False,,False,False,,,,,"RENT FROM R4,000 per day
Website Link: https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1718724
Nestled close to the beach, this 3-bedroom, 2-bathroom Settler Sands unit offers the perfect coastal escape. Enjoy river views from the open-plan living, dining, and kitchen area, designed for easy holiday living.
Step outside and make the most of two braai areas: one in the private courtyard and another overlooking the river — ideal for sunset evenings and lazy afternoons with loved ones.
This river-facing gem offers a peaceful getaway where you can unwind and soak up the seaside charm.
The space
The property offers a lovely open plan living, dining and kitchen area with a guest loo located on the same floor.
upstairs you will find the three bedrooms, two with a sharing bathroom and the main bedroom with its own en-suite. The main bedroom and one guest bedroom have queen beds with the other guest bedroom having two three quarter beds.
Guest access
Guest will have access to the entire property except for the storage under the stairs
Book Now.","35 SETTLER SANDS:
RENT FROM R4,000 per day
Website Link: https://www.pamgolding.co.za/property-details/apartment-to-rent-west-beach-port-alfred/1pf1718724
Nestled close to the beach, this 3-bedroom, 2-bathroom Settler Sands unit offers the perfect coastal escape. Enjoy river views from the open-plan living, dining, and kitchen area, designed for easy holiday living.
Step outside and make the most of two braai areas: one in the private courtyard and another overlooking the river — ideal for sunset evenings and lazy afternoons with loved ones.
This river-facing gem offers a peaceful getaway where you can unwind and soak up the seaside charm.
The space
The property offers a lovely open plan living, dining and kitchen area with a guest loo located on the same floor.
upstairs you will find the three bedrooms, two with a sharing bathroom and the main bedroom with its own en-suite. The main bedroom and one guest bedroom have queen beds with the other guest bedroom having two three quarter beds.
Guest access
Guest will have access to the entire property except for the storage under the stairs
Book Now."
3,Three,49,GREENMANTLE DRIVE,4500,https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1712986,,True,False,False,True,True,False,,True,True,,,,"- Domestic service once a week included in rental if guests are booking for 7 days or more, additional days if needed can be arranged","RENT FROM R4,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1712986
Welcome to your perfect coastal escape in Port Alfred! This spacious three-bedroom home on sought-after Greenmantle Drive offers the ideal blend of comfort, relaxation, and breathtaking views.
Downstairs, you'll find two bedrooms and a shared bathroom, along with a neat kitchen and dining area that flows seamlessly out to the pool and braai area – perfect for lazy summer afternoons and evening gatherings.
Upstairs, the main bedroom with en-suite bathroom provides a private retreat, while the open-plan lounge and additional dining space lead onto a generous double deck. Here, you can soak up the spectacular sea views on one side and take in the tranquil golf course vistas on the other.
Whether you're looking for a family holiday, a friends' getaway, or just a peaceful break, this home has everything you need for a memorable stay.
📍 Highlights:
3 bedrooms, 2 bathrooms (main en-suite)
Pool & outdoor braai area
Spacious upstairs lounge & dining space
Double deck with panoramic sea and golf course views
Ideal location for a relaxing Port Alfred holiday
Included in the rental is:
- WiFi
- Linen
- Bath towels
- Domestic service once a week included in rental if guests are booking for 7 days or more, additional days if needed can be arranged","49 GREENMANTLE DRIVE:
RENT FROM R4,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1712986
Welcome to your perfect coastal escape in Port Alfred! This spacious three-bedroom home on sought-after Greenmantle Drive offers the ideal blend of comfort, relaxation, and breathtaking views.
Downstairs, you'll find two bedrooms and a shared bathroom, along with a neat kitchen and dining area that flows seamlessly out to the pool and braai area – perfect for lazy summer afternoons and evening gatherings.
Upstairs, the main bedroom with en-suite bathroom provides a private retreat, while the open-plan lounge and additional dining space lead onto a generous double deck. Here, you can soak up the spectacular sea views on one side and take in the tranquil golf course vistas on the other.
Whether you're looking for a family holiday, a friends' getaway, or just a peaceful break, this home has everything you need for a memorable stay.
📍 Highlights:
3 bedrooms, 2 bathrooms (main en-suite)
Pool & outdoor braai area
Spacious upstairs lounge & dining space
Double deck with panoramic sea and golf course views
Ideal location for a relaxing Port Alfred holiday
Included in the rental is:
- WiFi
- Linen
- Bath towels
- Domestic service once a week included in rental if guests are booking for 7 days or more, additional days if needed can be arranged"
3,Three,6,LITTLE BEACH ROAD,5500,https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1620746,6.0,True,False,False,True,False,False,no pets,True,True,,available,,The rental includes a domestic once a week.,"RENT FROM R5,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1620746
This home is an absolute divine find, the home is perfect for a family on holiday.
Located in the house there are 2 bedroom's, 1 bathroom and a stunning open plan kitchen and lounge. A guest suite outside which can accommodate a further 2 people. There is a great outdoor entertainment area. A magnificent heated pool for the hot or cold summer days.
The rental includes a domestic once a week.
Double garages available for use.
Can accommodate 6 people
Tenants to provide their own towels
Linen included in the rental
WiFi included in the rental
No pets","6 LITTLE BEACH ROAD:
RENT FROM R5,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1620746
This home is an absolute divine find, the home is perfect for a family on holiday.
Located in the house there are 2 bedroom's, 1 bathroom and a stunning open plan kitchen and lounge. A guest suite outside which can accommodate a further 2 people. There is a great outdoor entertainment area. A magnificent heated pool for the hot or cold summer days.
The rental includes a domestic once a week.
Double garages available for use.
Can accommodate 6 people
Tenants to provide their own towels
Linen included in the rental
WiFi included in the rental
No pets
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
